ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1071,0.04924952221725058,11,311541,Ctrl,0,BLA,3.5308354277607123e-05,5.364084182426725e-05,0.058467644982298644,0.6582363937031566,0.8423380526470855
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1072,0.05812088614774175,14,324940,Ctrl,0,BLA,4.308487720809996e-05,5.364084182426725e-05,0.058467644982298644,0.8032103103312642,0.9940692183743355
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1073,0.13502716036780305,26,331454,Ext,1,BLA,7.844225744748894e-05,5.364084182426725e-05,0.058467644982298644,1.462360671081069,2.309433882768549
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1074,0.11655344712626223,67,504434,Ext,1,BLA,0.00013282213332170315,5.364084182426725e-05,0.058467644982298644,2.476138121710351,1.9934691599353682
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1075,0.15008135571360143,52,419427,Ext,1,BLA,0.0001239786661326047,5.364084182426725e-05,0.058467644982298644,2.3112736846817428,2.566912961160643
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1076,0.16099283564289754,39,429324,Ext,1,BLA,9.084048410990301e-05,5.364084182426725e-05,0.058467644982298644,1.693494751769659,2.7535372032110903
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1077,0.0877010888220211,33,303620,Ext,1,BLA,0.00010868849219419011,5.364084182426725e-05,0.058467644982298644,2.0262264442132443,1.4999935237441668
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1078,0.07971323795767471,20,230698,Ext,1,BLA,8.669342603750358e-05,5.364084182426725e-05,0.058467644982298644,1.6161831747816318,1.3633735031025838
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1079,0.11275043738277732,28,350210,Ext,1,BLA,7.995202878273036e-05,5.364084182426725e-05,0.058467644982298644,1.4905066002629337,1.9284244716357748
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1080,0.11349112574259708,110,503389,Ext,1,BLA,0.00021851887903788123,5.364084182426725e-05,0.058467644982298644,4.073740672336405,1.9410928176935647
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1081,0.09434994239055272,18,314380,Ext,1,BLA,5.725555060754501e-05,5.364084182426725e-05,0.058467644982298644,1.067387249348545,1.613712035419207
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1082,0.11208425838751537,11,197036,Ext,1,BLA,5.582736149739134e-05,5.364084182426725e-05,0.058467644982298644,1.0407622177199856,1.917030494753969
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1063,0.035636476812947404,2,409334,Ctrl,0,BLA,4.885985527710867e-06,6.206892420721686e-05,0.05421160823083554,0.07871870811549792,0.6573587830341729
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1064,0.03545418167266908,1,260641,Ctrl,0,BLA,3.836694917530243e-06,6.206892420721686e-05,0.05421160823083554,0.061813459255737245,0.6539961242563315
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1065,0.02639234373356868,37,404056,Ctrl,0,BLA,9.157146534143782e-05,6.206892420721686e-05,0.05421160823083554,1.475319034622331,0.4868393429906904
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1066,0.03488695568437708,32,350413,Ctrl,0,BLA,9.132081286938556e-05,6.206892420721686e-05,0.05421160823083554,1.4712807421071352,0.6435329410599074
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1067,0.07552203856498996,14,308418,Ctrl,0,BLA,4.539294074924291e-05,6.206892420721686e-05,0.05421160823083554,0.7313311988089041,1.393097180283116
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1068,0.08893631475513898,65,423011,Ctrl,0,BLA,0.00015366030670597219,6.206892420721686e-05,0.05421160823083554,2.475639922370458,1.6405400551196347
ens_a1,p27b_sc_cyc_inns_01_cFOS_staple_3.0027.h5,fold_3,1069,0.0646271724118686,54,433601,Ctrl,0,BLA,0.00012453845816776254,6.206892420721686e-05,0.05421160823083554,2.006454272543719,1.1921279320230294
